Year,Facility,Class,All Delays,All Avg. min.,all Total min.,Weather Number of Delays,Weather avg,Weather total,volume number of delays,volume avg,volume total,Equipment number of delays,Equipment avg.,Equipment total,runway number of delays,runway avg.,runway total,Other number of delays,other avg.,other total
2004,MSY,Combined TRACON & Tower with Radar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,MSY,Towers with Radar,65,56,3650,20,59,1171,0,0,0,33,62,2051,0,0,0,12,36,428
2004,OAK,Combined TRACON & Tower with Radar,164,40,6518,48,29,1402,27,23,623,30,109,3280,45,21,924,14,21,289
2004,OAK,Towers with Radar,148,27,3941,43,27,1167,3,20,61,0,0,0,98,26,2595,4,30,118
2004,OGG,Towers with Radar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,OMA,Combined TRACON & Tower with Radar,7,93,652,3,81,242,2,102,203,1,179,179,0,0,0,1,28,28
2004,OMA,Towers with Radar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ONT,Combined TRACON & Tower with Radar,83,47,3899,34,45,1519,3,31,93,10,139,1390,0,0,0,36,25,897
2004,ONT,Towers with Radar,13,25,325,5,25,124,8,25,201,0,0,0,0,0,0,0,0,0
2004,ORD,Combined TRACON & Tower with Radar,75782,58,4392589,64159,62,4009537,5145,35,177928,1197,44,52757,2211,35,77514,3070,24,74853
2004,ORD,Towers with Radar,16952,53,903835,14371,58,828885,1568,31,49188,0,0,0,719,24,16911,294,30,8851
2004,PBI,Combined TRACON & Tower with Radar,291,38,11069,20,45,895,263,38,9955,0,0,0,0,0,0,8,27,219
2004,PBI,Towers with Radar,2109,47,99997,330,55,18133,998,46,45742,69,49,3414,6,90,539,706,46,32169
2004,PDX,Combined TRACON & Tower with Radar,65,40,2582,24,47,1133,0,0,0,6,62,374,5,68,340,30,25,735
2004,PDX,Towers with Radar,10,20,198,1,22,22,0,0,0,0,0,0,9,20,176,0,0,0
2004,PHL,Combined TRACON & Tower with Radar,4750,47,222029,2391,69,165962,1171,25,29110,0,0,0,1047,21,21640,141,38,5317
2004,PHL,Towers with Radar,22299,43,967838,15928,51,810808,3506,23,81621,82,42,3438,478,26,12633,2305,26,59338
2004,PHX,Combined TRACON & Tower with Radar,8020,28,225873,3727,34,126573,1156,21,24046,120,65,7784,2750,22,61540,267,22,5930
2004,PHX,Towers with Radar,2399,32,77555,1316,43,56152,93,25,2351,0,0,0,986,19,18887,4,41,165
2004,PIT,Combined TRACON & Tower with Radar,354,50,17547,161,73,11680,128,30,3847,10,36,362,21,27,567,34,32,1091
2004,PSP,Combined TRACON & Tower with Radar,22,69,1510,8,51,411,0,0,0,2,45,90,3,35,105,9,100,904
2004,PVD,Combined TRACON & Tower with Radar,26,30,789,24,31,734,2,28,55,0,0,0,0,0,0,0,0,0
2004,PVD,Towers with Radar,251,61,15213,181,62,11203,61,55,3371,0,0,0,0,0,0,9,71,639
2004,RDU,Combined TRACON & Tower with Radar,6,31,184,5,31,155,0,0,0,0,0,0,0,0,0,1,29,29
2004,RDU,Towers with Radar,150,53,7880,80,61,4908,58,41,2356,1,38,38,4,51,202,7,54,376
2004,RFD,Combined TRACON & Tower with Radar,3,103,309,2,142,284,0,0,0,0,0,0,0,0,0,1,25,25
2004,RFD,Towers with Radar,13,49,642,12,45,538,0,0,0,0,0,0,0,0,0,1,104,104
2004,RSW,Combined TRACON & Tower with Radar,2,20,39,1,22,22,1,17,17,0,0,0,0,0,0,0,0,0
2004,RSW,Towers with Radar,333,52,17477,93,64,5935,204,47,9511,31,58,1786,2,43,85,3,53,160
2004,SAN,Combined TRACON & Tower with Radar,352,41,14574,90,46,4163,82,45,3668,23,115,2640,106,28,3007,51,21,1096
2004,SAN,Towers with Radar,78,56,4372,56,64,3591,1,18,18,0,0,0,21,36,763,0,0,0
2004,SAT,Combined TRACON & Tower with Radar,3,50,149,3,50,149,0,0,0,0,0,0,0,0,0,0,0,0
2004,SAT,Towers with Radar,185,60,11122,173,60,10440,2,42,84,10,60,598,0,0,0,0,0,0
2004,SDF,Combined TRACON & Tower with Radar,8,36,284,2,70,139,5,24,121,1,24,24,0,0,0,0,0,0
2004,SDF,Towers with Radar,90,90,8139,60,112,6736,20,48,952,8,44,353,2,49,98,0,0,0
2004,SEA,Combined TRACON & Tower with Radar,893,37,32659,835,36,30017,9,92,825,10,79,794,27,27,728,12,25,295
2004,SEA,Towers with Radar,331,39,12827,243,37,8909,0,0,0,63,42,2622,0,0,0,25,52,1296
2004,SFO,Combined TRACON & Tower with Radar,8644,50,434234,7906,53,417421,467,21,9630,64,47,3026,123,22,2677,84,18,1480
2004,SFO,Towers with Radar,1561,50,78272,1525,51,77153,1,42,42,0,0,0,34,31,1057,1,20,20
2004,SJC,Combined TRACON & Tower with Radar,135,42,5700,22,38,828,49,28,1369,24,105,2521,28,25,711,12,23,271
2004,SJC,Towers with Radar,80,70,5601,68,77,5207,6,22,130,2,97,193,0,0,0,4,18,71
2004,SJU,Combined TRACON & Tower with Radar,69,46,3152,9,45,402,39,51,1973,2,25,50,18,31,558,1,169,169
2004,SJU,Towers with Radar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,SLC,Combined TRACON & Tower with Radar,1958,35,68316,1078,35,37328,89,28,2511,76,46,3515,604,36,21972,111,27,2990
2004,SLC,Towers with Radar,84,28,2328,67,26,1766,17,33,562,0,0,0,0,0,0,0,0,0
2004,SMF,Towers with Display (VFR),63,64,4046,41,63,2598,0,0,0,18,71,1284,4,41,164,0,0,0
2004,SMF,Towers with Radar,2,20,40,2,20,40,0,0,0,0,0,0,0,0,0,0,0,0
2004,SNA,Combined TRACON & Tower with Radar,1342,22,30181,12,40,483,85,23,1965,11,138,1515,1063,21,22627,171,21,3591
2004,SNA,Towers with Radar,236,21,4999,14,49,681,1,18,18,0,0,0,219,19,4268,2,16,32
2004,STL,Combined TRACON & Tower with Radar,266,56,14898,233,59,13840,5,51,256,0,0,0,5,44,218,23,25,584
2004,STL,Towers with Radar,31,35,1100,13,48,624,4,49,195,0,0,0,0,0,0,14,20,281
2004,TEB,Combined TRACON & Tower with Radar,6173,50,310813,3312,59,196486,652,38,24663,118,38,4453,544,35,19284,1547,43,65927
2004,TEB,Towers with Radar,1616,46,74149,130,43,5639,1117,46,51217,0,0,0,263,49,12945,106,41,4348
2004,TPA,Combined TRACON & Tower with Radar,737,36,26556,461,38,17578,144,25,3606,107,42,4503,0,0,0,25,35,869
2004,TUS,Combined TRACON & Tower with Radar,30,61,1815,23,70,1602,0,0,0,0,0,0,2,35,69,5,29,144
2004,TUS,Towers with Radar,5,94,468,2,188,376,3,31,92,0,0,0,0,0,0,0,0,0
